"valor","Punto","filas","test","Porce"
2,325,45491,1,0.0732869182850861
25,20,9552,1,4.3630017452007
27,21,9552,1,4.71204188481675
22,22,9552,1,3.83944153577661
28,23,9552,1,4.88656195462478
31,24,9552,1,5.41012216404887
25,25,9552,1,4.3630017452007
17,7,6645,1,4.2713567839196
1,8,6645,1,0.251256281407035
4,28,6553,1,1.01781170483461
0,29,6552,1,0
18,202,6399,1,4.69973890339426
277,30,6386,1,72.3237597911227
12,182,6372,1,3.1413612565445
64,183,6384,1,16.710182767624
20,231,6384,1,5.22193211488251
12,184,6383,1,3.1413612565445
33,185,6347,1,8.68421052631579
13,186,6332,1,3.43007915567282
0,203,6311,1,0
3,189,6162,1,0.813008130081301
51,190,6055,1,14.0495867768595
31,264,3339,1,15.5
33,262,3994,1,13.8075313807531
170,263,6023,1,47.0914127423823
10,222,6002,1,2.77777777777778
0,267,6001,0,0
0,268,6001,0,0
65,266,6000,1,18.0555555555556
18,223,5978,1,5.02793296089385
0,269,5978,0,0
15,225,5858,1,4.27350427350427
8,226,5846,1,2.28571428571429
239,227,5857,1,68.0911680911681
76,229,5833,1,21.7765042979943
0,271,339,0,0
11,233,5510,1,3.33333333333333
15,234,5507,1,4.54545454545455
19,235,5497,1,5.77507598784195
18,237,5495,1,5.47112462006079
21,238,5495,1,6.38297872340426
19,244,5495,1,5.77507598784195
23,241,5495,1,6.99088145896657
7,239,5493,1,2.12765957446809
14,240,5494,1,4.25531914893617
26,242,4177,1,10.4
10,243,4944,1,3.37837837837838
0,277,52,0,0
0,278,5351,0,0
14,245,5172,1,4.51612903225806
7,246,5158,1,2.26537216828479
2,247,5137,1,0.649350649350649
28,248,4489,1,10.4089219330855
87,249,4848,1,30
15,251,4490,1,5.57620817843866
19,250,4489,1,7.0631970260223
0,279,4,0,NA
18,302,3420,1,8.78048780487805
13,281,4463,1,4.8689138576779
115,273,4462,1,43.0711610486891
27,272,4461,1,10.1123595505618
17,274,4460,1,6.36704119850187
13,275,4461,1,4.8689138576779
11,282,4297,1,4.28015564202335
10,283,4297,1,3.89105058365759
17,284,4296,1,6.6147859922179
19,285,4296,1,7.39299610894942
7,322,3673,1,3.18181818181818
4,323,3673,1,1.81818181818182
9,324,3659,1,4.10958904109589
100,328,3649,1,45.8715596330275
0,329,3648,0,0
0,330,3648,0,0
9,326,3646,1,4.12844036697248
17,327,3632,1,7.83410138248848
11,331,3643,1,5.04587155963303
3,342,3379,1,1.48514851485149
1,345,3519,1,0.4739336492891
7,343,3519,1,3.3175355450237
4,344,3517,1,1.8957345971564
21,346,3519,1,9.95260663507109
2,351,3505,1,0.952380952380952
9,347,3504,1,4.28571428571429
21,348,3505,1,10
20,349,3505,1,9.52380952380952
31,350,3504,1,14.7619047619048
10,352,3480,1,4.80769230769231
8,353,3480,1,3.84615384615385
8,354,3480,1,3.84615384615385
15,355,3480,1,7.21153846153846
11,356,3479,1,5.28846153846154
17,357,3442,1,8.25242718446602
5,358,3478,1,2.40384615384615
0,364,3457,0,0
11,362,3457,1,5.31400966183575
10,363,3456,1,4.83091787439614
13,365,3450,1,6.28019323671498
8,366,3450,1,3.86473429951691
5,443,3372,1,2.47524752475248
9,382,3372,1,4.45544554455445
14,383,3385,1,6.89655172413793
10,442,3323,1,5.0251256281407
0,384,3336,0,0
0,385,3336,0,0
9,386,3308,1,4.54545454545455
55,406,3168,1,28.9473684210526
6,407,3167,1,3.15789473684211
22,408,2133,1,17.3228346456693
14,409,2133,1,11.0236220472441
5,422,2013,1,4.16666666666667
12,423,3047,1,6.59340659340659
0,462,1657,0,0
0,463,1566,0,0
0,464,1657,0,0
0,465,1645,0,0
0,482,1369,0,0
19,502,1258,1,25.3333333333333
0,522,144,1,0
0,523,130,1,0
0,524,143,1,0
0,542,10,0,NA
